"ID","Study_ID","Year","Site","lulc_N","lulc_N1","lulc_N2","lulc_N3","lulc_N4","lulc_N5","buffer500_RPG_Maïs (hors maïs doux)","buffer500_RPG_Orge d'hiver","buffer500_RPG_Blé dur d’hiver","buffer500_RPG_Tournesol","buffer500_RPG_Jachère de 5 ans ou moins","buffer500_RPG_Luzerne implantée pour la récolte 2015","buffer500_RPG_Prairie de 6 ans ou plus (couvert herbacé)","buffer500_RPG_Prairie en rotation longue (6 ans ou plus)","buffer500_RPG_Prairie temporaire de moins de 5 ans et autre mélange avec graminées","buffer500_RPG_Poire","buffer500_RPG_Autre verger (y compris verger DOM)","buffer500_RPG_Vigne (sauf vigne rouge)","buffer500_RPG_Olive","buffer500_RPG_Betterave","buffer500_RPG_Concombre, cornichon et courgette","buffer500_RPG_Courge musquée / Butternut","buffer500_RPG_Autre légume ou fruit annuel","buffer500_RPG_Autre légume ou fruit pérenne (hors petit fruit à baie)","buffer500_RPG_Pomme de terre","buffer500_RPG_Surface agricole temporairement non admissible, autre que surface pâturable","buffer500_OSO_Bâtis diffus","buffer500_OSO_Zones industrielles et commerciales","buffer500_OSO_Céréales à pailles","buffer500_OSO_Tournesol","buffer500_OSO_Prairies","buffer500_OSO_Vergers","buffer500_OSO_Vignes","buffer500_OSO_Forêts de feuillus","buffer500_OSO_Landes ligneuses","buffer500_OSO_Serres"
"SEBIOPAG_BVD_205_2022","SEBIOPAG_BVD",2022,"205","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",9.88,0,11.22,12.76,0,0,9.79,4.12,0,0,26.59,0,0,0,2.97,0,0,0,0,0,0.01,0,0,0.05,1.11,17.43,0,3.97,0,0.09
"SEBIOPAG_BVD_211_2020","SEBIOPAG_BVD",2020,"211","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,0,0,0,0,0,0,0.31,0,2.32,0,10.94,3.12,0,0,0,1.06,0,0,0,1.99,5.14,0,0.24,0.2,5.22,14.87,3.06,35.21,6.63,0
"SEBIOPAG_BVD_211_2021","SEBIOPAG_BVD",2021,"211","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0.93,0,0,0,0.31,0,2.32,0,12.97,2.43,0.51,0,0,0.69,0,0,0,2.57,5.47,0,0,0,4.83,15.98,2.12,35.89,6.12,0
"SEBIOPAG_BVD_211_2022","SEBIOPAG_BVD",2022,"211","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0.77,0,0.7,0,0.31,0,0,0,12.82,2.01,0,0,0,0.22,0,0,0.2,3.57,4.27,0,0,0,3.56,20.26,2.16,37.18,2.97,0.01
"SEBIOPAG_BVD_212_2020","SEBIOPAG_BVD",2020,"212","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,0,0,0,0,0.47,0,0,0.7,0.69,0,57.81,1.44,0,0,0,0.03,0,0,0,0.46,4.02,0.24,0.73,0.04,3.8,11.62,3.6,6.66,6.08,0
"SEBIOPAG_BVD_212_2021","SEBIOPAG_BVD",2021,"212","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,0.47,0,0,0.7,0,0,61.08,1.44,0,0,0,0,0,0,0,0.46,4.8,0.08,0.01,0.13,8.07,10.84,0.88,6.26,2.18,0
"SEBIOPAG_BVD_212_2022","SEBIOPAG_BVD",2022,"212","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,2.77,0,0,0.7,0,0,59.15,1.44,0,0,0,0,3.48,0,0,0.46,3.4,0,0,0.01,2.62,10.55,2.19,4.94,0.84,2.06
"SEBIOPAG_BVD_228_2020","SEBIOPAG_BVD",2020,"228","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,0,0,0,0,3.77,0,9.86,0,0,0,9.97,0,0,0,0,0,0,0,0,0,1.55,0,0,0.35,25.67,27.69,3.18,15.68,2.16,0
"SEBIOPAG_BVD_228_2021","SEBIOPAG_BVD",2021,"228","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,0,0,14.18,0,3.77,0,9.85,0,0,0,0,0,0,0,0,0,1.99,0,0,0,16.34,32.79,1.5,17.89,1.64,0
"SEBIOPAG_BVD_228_2022","SEBIOPAG_BVD",2022,"228","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,0,0,26.92,0,0,0,10.34,0,0,0,0,0,0,0,0,0,1.07,0,0,0.55,13.24,28.03,2.72,15.53,1.41,0
"SEBIOPAG_BVD_230_2020","SEBIOPAG_BVD",2020,"230","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,9.51,0,14.17,6.56,1.3,0,23.69,0,0,0,20.39,0,0,0,0,0,0,0,0,3.54,0.45,0,0.49,0,4.14,8.89,0.95,4.62,0.39,0
"SEBIOPAG_BVD_230_2021","SEBIOPAG_BVD",2021,"230","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",9.22,0,12.59,2.78,1.3,0,23.67,0,0,0,20.38,0,0,0,0,0,0,0,0,3.54,0.47,0,0,0,4.43,8.56,1.13,5.22,0.23,0
"SEBIOPAG_BVD_231_2020","SEBIOPAG_BVD",2020,"231","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","OSO_Vergers","OSO_Vergers",NA,0,0,0,0,3.71,0,0,0,7.79,1.5,39.02,0,0,0,0,0.64,0.48,0,0,3.79,2.36,0.43,0.01,0.01,10.52,14.4,2.08,11.31,1.55,0
"SEBIOPAG_BVD_231_2021","SEBIOPAG_BVD",2021,"231","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","OSO_Vergers","OSO_Vergers",0,0,0,0,0,1.38,0.09,0,3.94,3.75,39.02,0,0,0,0,0,1.12,0,0,0.14,2.66,0.22,0.12,0,14.48,17.85,1.75,12.02,1.43,0
"SEBIOPAG_BVD_231_2022","SEBIOPAG_BVD",2022,"231","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","OSO_Vergers",0,0,0,2.77,0,1.38,0.09,0,0.64,3.75,37.89,0,0,0,0,0,0.23,0,0,0.17,1.76,0.31,0,0,11.36,18.13,0.95,11.9,0.55,0.04
"SEBIOPAG_BVD_232_2020","SEBIOPAG_BVD",2020,"232","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,0,0,4.7,9.44,0,0,0.98,0,5.7,0,15.9,0,0,5.25,0,2.35,0,0,0,0.13,10.72,3.53,0.46,0.2,13.96,15.32,2.48,3.32,3.73,0
