"code
culture",libelle culture,"identifiant
groupe culture","code groupe
culture","libelle groupe
culture","code groupe
intermédiaire","libelle groupe
intermédiaire",id_group,id
OHR,autre_oleagineux_hiver_brassica_rapa,7,olea,autres_oleagineux,olea,autres_oleagineux,23,52
OPN,autre_oleagineux_printemps_brassica_napus,7,olea,autres_oleagineux,olea,autres_oleagineux,23,53
OPR,autre_oleagineux_printemps_brassica_rapa,7,olea,autres_oleagineux,olea,autres_oleagineux,23,54
SOJ,soja,7,olea,autres_oleagineux,SOJ,soja,24,55
FEV,feve,8,prot,proteagineux,prot,proteagineux,25,56
FVL,feverole_avant_juin,8,prot,proteagineux,prot,proteagineux,25,57
FVP,feverole_printemps,8,prot,proteagineux,prot,proteagineux,25,58
FVT,feverole_apres_juin,8,prot,proteagineux,prot,proteagineux,25,59
LDH,lupin_doux_hiver,8,prot,proteagineux,prot,proteagineux,25,60
LDP,lupin_doux_printemps_avant_juin,8,prot,proteagineux,prot,proteagineux,25,61
LDT,lupin_doux_printemps_apres_juin,8,prot,proteagineux,prot,proteagineux,25,62
MPC,melange_proteagineux_avant_juin,8,prot,proteagineux,prot,proteagineux,25,63
MPP,melange_proteagineux,8,prot,proteagineux,prot,proteagineux,25,64
MPT,melange_proteagineux_apres_juin,8,prot,proteagineux,prot,proteagineux,25,65
PAG,autre_proteagineux_autre_genre,8,prot,proteagineux,prot,proteagineux,25,66
PHI,pois_hiver,8,prot,proteagineux,prot,proteagineux,25,67
PPR,pois_printemps_avant_juin,8,prot,proteagineux,prot,proteagineux,25,68
PPT,pois_printemps_apres_juin,8,prot,proteagineux,prot,proteagineux,25,69
CHV,chanvre,9,plte_fb,plante_a_fibre,CHV,chanvre,26,70
CSE,chanvre_sans_etiquette,9,plte_fb,plante_a_fibre,CHV,chanvre,26,71
LIF,lin_fibres,9,plte_fb,plante_a_fibre,LIF,lin_fibres,27,72
J5M,jachere_temporaire,11,gel_sp,gel_sans_prod,gel_sp,gel_sans_prod,28,73
J6P,jachere_permanente,11,gel_sp,gel_sans_prod,gel_sp,gel_sans_prod,28,74
J6S,jachere_sie,11,gel_sp,gel_sans_prod,gel_sp,gel_sans_prod,28,75
JAC,jachere,11,gel_sp,gel_sans_prod,gel_sp,gel_sans_prod,28,76
JNO,jachere_noire,11,gel_sp,gel_sans_prod,gel_sp,gel_sans_prod,28,77
RIZ,riz,14,riz,riz,riz,riz,29,78
LEC,lentille_cultivee_non_fourragere,15,leg_gr,legumineuses_graines,leg_gr,legumineuses_graines,30,79
PCH,pois_chiche,15,leg_gr,legumineuses_graines,leg_gr,legumineuses_graines,30,80
AFG,autre_fourrage_annuel_autre,16,fou,fourrage,fou_autres,fourrage_autres,31,81
BVF,betterave_fourragere,16,fou,fourrage,fou_autres,fourrage_autres,31,82
CAF,carotte_fourragere,16,fou,fourrage,fou_autres,fourrage_autres,31,83
CHF,chou_fourrager,16,fou,fourrage,fou_autres,fourrage_autres,31,84
FAG,autre_fourrage_annuel_autre_genre,16,fou,fourrage,fou_autres,fourrage_autres,31,85
FSG,autre_plante_fourragere_sarclee_autre_genre,16,fou,fourrage,fou_autres,fourrage_autres,31,86
GAI,gaillet,16,fou,fourrage,fou_autres,fourrage_autres,31,87
NVF,navet_fourrager,16,fou,fourrage,fou_autres,fourrage_autres,31,88
RDF,radis_fourrager,16,fou,fourrage,fou_autres,fourrage_autres,31,89
CPL,fourrage_compose,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,90
FF5,feverole_fourragere_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,91
FF6,feverole_fourragere_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,92
FF7,feverole_fourragere_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,93
FF8,feverole_fourragere_2018,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,94
