id,code,name,source,grp1,code_grp1,name_grp1,grp2,code_grp2,name_grp2,keep_ag
159,TR7,trefle_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
160,TR8,trefle_2018,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
161,TRD,trefle_deshyd,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
162,TRE,autre_trefle,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
163,VE5,vesce_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
164,VE6,vesce_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
165,VE7,vesce_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
166,VE8,vesce_2018,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
167,VED,vesce_deshyd,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
168,VES,autre_vesce,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
169,DTY,dactyle_temporaire,rpg,16,fou,fourrage,33,fou_poacees,fourrage_poacees,1
170,FET,fetuque_temporaire,rpg,16,fou,fourrage,33,fou_poacees,fourrage_poacees,1
171,FLO,fleole_temporaire,rpg,16,fou,fourrage,33,fou_poacees,fourrage_poacees,1
172,GFP,autre_graminee_fourragere_pure_temporaire,rpg,16,fou,fourrage,33,fou_poacees,fourrage_poacees,1
173,MOH,moha,rpg,16,fou,fourrage,33,fou_poacees,fourrage_poacees,1
174,PAT,paturin_temporaire,rpg,16,fou,fourrage,33,fou_poacees,fourrage_poacees,1
175,XFE,x_felium_temporaire,rpg,16,fou,fourrage,33,fou_poacees,fourrage_poacees,1
176,LU5,luzerne_2015,rpg,16,fou,fourrage,34,LU,luzerne,1
177,LU6,luzerne_2016,rpg,16,fou,fourrage,34,LU,luzerne,1
178,LU7,luzerne_2017,rpg,16,fou,fourrage,34,LU,luzerne,1
179,LU8,luzerne_2018,rpg,16,fou,fourrage,34,LU,luzerne,1
180,LUD,luzerne_deshyd,rpg,16,fou,fourrage,34,LU,luzerne,1
181,LUZ,autre_luzerne,rpg,16,fou,fourrage,34,LU,luzerne,1
182,BOP,bois_pature,rpg,17,esti,estives_landes,35,esti,estives_landes,1
183,SIN,surface_pastorale_non_utilise,rpg,17,esti,estives_landes,35,esti,estives_landes,1
184,SPH,surface_pastorale_herbe_predominante,rpg,17,esti,estives_landes,35,esti,estives_landes,1
185,SPL,surface_pastorale_fourrageres_ligneuses_predominantes,rpg,17,esti,estives_landes,35,esti,estives_landes,1
186,PPH,prairie_permanente_herbe_predominante,rpg,18,pp,prairies_permanentes,36,pp,prairies_permanentes,1
187,PRL,prairie_en_rotation_longue,rpg,18,pp,prairies_permanentes,36,pp,prairies_permanentes,1
188,PTR,autre_prairie_temporaire,rpg,19,pt,prairies_temporaires,37,pt,prairies_temporaires,1
189,RGA,ray_grass_temporaire,rpg,19,pt,prairies_temporaires,37,pt,prairies_temporaires,1
190,AGR,agrume,rpg,20,verg,vergers,38,verg,vergers,1
191,ANA,ananas,rpg,20,verg,vergers,38,verg,vergers,1
192,AVO,avocat,rpg,20,verg,vergers,38,verg,vergers,1
193,BCA,banane_creole_fruit_legume_autre,rpg,20,verg,vergers,38,verg,vergers,1
194,BCF,banane_creole_fruit_legume_fermage,rpg,20,verg,vergers,38,verg,vergers,1
195,BCI,banane_creole_fruit_legume_indivision,rpg,20,verg,vergers,38,verg,vergers,1
196,BCP,banane_creole_fruit_legume_propriete,rpg,20,verg,vergers,38,verg,vergers,1
197,BCR,banane_creole_fruit_legume_reforme_fonciere,rpg,20,verg,vergers,38,verg,vergers,1
198,BEA,banane_export_autre,rpg,20,verg,vergers,38,verg,vergers,1
199,BEF,banane_export_fermage,rpg,20,verg,vergers,38,verg,vergers,1
200,BEI,banane_export_indivision,rpg,20,verg,vergers,38,verg,vergers,1
201,BEP,banane_export_propriete,rpg,20,verg,vergers,38,verg,vergers,1
202,BER,banane_export_reforme_fonciere,rpg,20,verg,vergers,38,verg,vergers,1
203,CAC,cafe_cacao,rpg,20,verg,vergers,38,verg,vergers,1
204,CBT,cerise_bigarreau_transfo,rpg,20,verg,vergers,38,verg,vergers,1
205,PFR,petit_fruit_rouge,rpg,20,verg,vergers,38,verg,vergers,1
206,PRU,prune_ente_transfo,rpg,20,verg,vergers,38,verg,vergers,1
207,PVT,peche_pavie_transfo,rpg,20,verg,vergers,38,verg,vergers,1
208,PWT,poire_williams_transfo,rpg,20,verg,vergers,38,verg,vergers,1
209,VGD,verger_dom,rpg,20,verg,vergers,38,verg,vergers,1
210,VRG,verger,rpg,20,verg,vergers,38,verg,vergers,1
211,RVI,restructuration_vignoble,rpg,21,vign,vignes,39,vign,vignes,1
212,VRC,vigne_cuve,rpg,21,vign,vignes,39,vign,vignes,1
213,VRN,vigne_cuve_non_prod,rpg,21,vign,vignes,39,vign,vignes,1
214,VRT,vigne_table,rpg,21,vign,vignes,39,vign,vignes,1
